alt,apps,batt_voltage,cg_accel_x,cg_accel_y,cg_accel_z,coolant_temp,epoch,fr_adc1,fr_adc2,fr_adc3,fr_adc4,gear,lambda,lat,lon,map,nanos,oil_pa,rpm,timestamp,tps
233475,347,133,118,65477,2501,2924,1731130518,706,624,561,1465,0,533,30.3863196,97.7244505,562,274786043,6250,5108,1731130518,183
233482,347,133,118,65458,2520,2925,1731130518,708,626,562,1464,0,534,30.3863196,97.7244505,556,374786016,6233,5031,1731130518,179
233502,348,133,108,65467,2530,2925,1731130518,705,625,563,1467,0,533,30.3863196,97.7244505,550,474785990,6237,5309,1731130518,178
233513,347,133,108,65467,2480,2926,1731130518,706,625,562,1468,0,535,30.3863195,97.7244505,540,574785963,6246,5272,1731130518,178
233525,344,133,108,65477,2500,2926,1731130518,704,621,562,1466,0,534,30.3863195,97.7244505,546,674785937,6240,4980,1731130518,178
233537,349,133,108,65467,2501,2926,1731130518,708,628,563,1472,0,534,30.3863194,97.7244506,545,774785911,6245,5208,1731130518,178
233556,344,133,98,65497,2500,2926,1731130518,703,623,563,1472,0,521,30.3863194,97.7244506,537,874785884,6238,5099,1731130518,178
233565,349,133,118,65467,2500,2928,1731130518,707,625,562,1469,0,843,30.3863193,97.7244506,544,974785858,6222,5165,1731130518,178
233577,348,133,98,65467,2500,2928,1731130519,710,630,564,1475,0,825,30.3863193,97.7244506,539,74785831,6224,5263,1731130519,178
233592,349,133,118,65487,2490,2929,1731130519,711,627,562,1468,0,865,30.3863192,97.7244506,540,174785805,6227,5185,1731130519,178
233605,343,133,108,65448,2501,2929,1731130519,706,627,562,1464,0,838,30.3863192,97.7244506,539,274785778,6233,5122,1731130519,178
233617,345,133,108,65497,2501,2929,1731130519,705,625,562,1476,0,857,30.3863192,97.7244507,539,374785752,6240,4966,1731130519,178
233628,348,133,118,65467,2491,2929,1731130519,702,622,563,1472,0,850,30.3863192,97.7244507,547,474785725,6215,4985,1731130519,178
233637,345,133,108,65477,2481,2930,1731130519,706,624,561,1461,0,870,30.3863192,97.7244507,550,574785699,6181,4854,1731130519,178
233650,349,133,108,65467,2511,2932,1731130519,705,625,562,1467,0,875,30.3863192,97.7244507,548,674785672,6184,5242,1731130519,177
233652,350,133,108,65497,2520,2932,1731130519,706,627,564,1468,0,891,30.3863192,97.7244507,541,774785646,6208,5217,1731130519,178
233661,351,133,108,65477,2531,2933,1731130519,703,624,562,1470,0,897,30.3863191,97.7244507,543,874785619,6209,5199,1731130519,178
233673,351,133,118,65467,2510,2933,1731130519,704,627,563,1465,0,861,30.3863191,97.7244508,545,974785593,6223,5095,1731130519,178
233699,350,133,108,65467,2511,2933,1731130520,703,624,563,1468,0,888,30.386319,97.7244508,543,174785540,6225,5322,1731130520,178
233708,351,133,118,65477,2511,2933,1731130520,706,625,562,1469,0,875,30.386319,97.7244508,534,274785514,6244,5349,1731130520,178
233728,345,133,127,65467,2500,2934,1731130520,709,628,563,1472,0,887,30.3863189,97.7244508,537,374785487,6249,5168,1731130520,179
233737,346,133,108,65477,2481,2934,1731130520,703,623,562,1466,0,883,30.3863189,97.7244508,549,474785461,6185,4865,1731130520,178
233748,352,133,127,65487,2511,2935,1731130520,701,620,562,1471,0,883,30.3863189,97.7244509,545,574785434,6185,5362,1731130520,178
